# THIS FILE IS AUTO-GENERATED BY `rake props:update` - DO NOT EDIT
adlam,adlam
age=1.1,age=1.1
age=10.0,age=10.0
age=11.0,age=11.0
age=12.0,age=12.0
age=12.1,age=12.1
age=13.0,age=13.0
age=14.0,age=14.0
age=15.0,age=15.0
age=15.1,age=15.1
age=2.0,age=2.0
age=2.1,age=2.1
age=3.0,age=3.0
age=3.1,age=3.1
age=3.2,age=3.2
age=4.0,age=4.0
age=4.1,age=4.1
age=5.0,age=5.0
age=5.1,age=5.1
age=5.2,age=5.2
age=6.0,age=6.0
age=6.1,age=6.1
age=6.2,age=6.2
age=6.3,age=6.3
age=7.0,age=7.0
age=8.0,age=8.0
age=9.0,age=9.0
ahom,ahom
alnum,alnum
alpha,alpha
alphabetic,alphabetic
anatolianhieroglyphs,anatolian_hieroglyphs
any,any
arabic,arabic
armenian,armenian
ascii,ascii
asciihexdigit,ascii_hex_digit
assigned,assigned
avestan,avestan
balinese,balinese
bamum,bamum
bassavah,bassa_vah
batak,batak
bengali,bengali
bhaiksuki,bhaiksuki
bidicontrol,bidi_control
blank,blank
bopomofo,bopomofo
brahmi,brahmi
braille,braille
buginese,buginese
buhid,buhid
canadianaboriginal,canadian_aboriginal
carian,carian
cased,cased
casedletter,cased_letter
caseignorable,case_ignorable
caucasianalbanian,caucasian_albanian
chakma,chakma
cham,cham
changeswhencasefolded,changes_when_casefolded
changeswhencasemapped,changes_when_casemapped
changeswhenlowercased,changes_when_lowercased
changeswhentitlecased,changes_when_titlecased
changeswhenuppercased,changes_when_uppercased
cherokee,cherokee
chorasmian,chorasmian
closepunctuation,close_punctuation
cntrl,cntrl
common,common
connectorpunctuation,connector_punctuation
control,control
coptic,coptic
cuneiform,cuneiform
currencysymbol,currency_symbol
cypriot,cypriot
cyprominoan,cypro_minoan
cyrillic,cyrillic
dash,dash
dashpunctuation,dash_punctuation
decimalnumber,decimal_number
defaultignorablecodepoint,default_ignorable_code_point
deprecated,deprecated
deseret,deseret
devanagari,devanagari
diacritic,diacritic
digit,digit
divesakuru,dives_akuru
dogra,dogra
duployan,duployan
egyptianhieroglyphs,egyptian_hieroglyphs
elbasan,elbasan
elymaic,elymaic
emoji,emoji
emojicomponent,emoji_component
emojimodifier,emoji_modifier
emojimodifierbase,emoji_modifier_base
emojipresentation,emoji_presentation
enclosingmark,enclosing_mark
ethiopic,ethiopic
extendedpictographic,extended_pictographic
extender,extender
finalpunctuation,final_punctuation
format,format
georgian,georgian
glagolitic,glagolitic
gothic,gothic
grantha,grantha
graph,graph
graphemebase,grapheme_base
graphemeclusterbreak=control,grapheme_cluster_break=control
graphemeclusterbreak=cr,grapheme_cluster_break=cr
graphemeclusterbreak=extend,grapheme_cluster_break=extend
graphemeclusterbreak=l,grapheme_cluster_break=l
graphemeclusterbreak=lf,grapheme_cluster_break=lf
graphemeclusterbreak=lv,grapheme_cluster_break=lv
graphemeclusterbreak=lvt,grapheme_cluster_break=lvt
graphemeclusterbreak=prepend,grapheme_cluster_break=prepend
graphemeclusterbreak=regionalindicator,grapheme_cluster_break=regional_indicator
graphemeclusterbreak=spacingmark,grapheme_cluster_break=spacingmark
graphemeclusterbreak=t,grapheme_cluster_break=t
graphemeclusterbreak=v,grapheme_cluster_break=v
graphemeclusterbreak=zwj,grapheme_cluster_break=zwj
graphemeextend,grapheme_extend
graphemelink,grapheme_link
greek,greek
gujarati,gujarati
gunjalagondi,gunjala_gondi
gurmukhi,gurmukhi
han,han
hangul,hangul
hanifirohingya,hanifi_rohingya
hanunoo,hanunoo
hatran,hatran
hebrew,hebrew
hexdigit,hex_digit
hiragana,hiragana
hyphen,hyphen
idcompatmathcontinue,id_compat_math_continue
idcompatmathstart,id_compat_math_start
idcontinue,id_continue
ideographic,ideographic
idsbinaryoperator,ids_binary_operator
idstart,id_start
idstrinaryoperator,ids_trinary_operator
idsunaryoperator,ids_unary_operator
imperialaramaic,imperial_aramaic
inadlam,in_adlam
inaegeannumbers,in_aegean_numbers
inahom,in_ahom
inalchemicalsymbols,in_alchemical_symbols
inalphabeticpresentationforms,in_alphabetic_presentation_forms
inanatolianhieroglyphs,in_anatolian_hieroglyphs
inancientgreekmusicalnotation,in_ancient_greek_musical_notation
inancientgreeknumbers,in_ancient_greek_numbers
inancientsymbols,in_ancient_symbols
inarabic,in_arabic
inarabicextendeda,in_arabic_extended_a
inarabicextendedb,in_arabic_extended_b
inarabicextendedc,in_arabic_extended_c
inarabicmathematicalalphabeticsymbols,in_arabic_mathematical_alphabetic_symbols
inarabicpresentationformsa,in_arabic_presentation_forms_a
inarabicpresentationformsb,in_arabic_presentation_forms_b
inarabicsupplement,in_arabic_supplement
inarmenian,in_armenian
inarrows,in_arrows
inavestan,in_avestan
inbalinese,in_balinese
inbamum,in_bamum
inbamumsupplement,in_bamum_supplement
inbasiclatin,in_basic_latin
inbassavah,in_bassa_vah
inbatak,in_batak
inbengali,in_bengali
inbhaiksuki,in_bhaiksuki
inblockelements,in_block_elements
inbopomofo,in_bopomofo
inbopomofoextended,in_bopomofo_extended
inboxdrawing,in_box_drawing
inbrahmi,in_brahmi
inbraillepatterns,in_braille_patterns
inbuginese,in_buginese
inbuhid,in_buhid
inbyzantinemusicalsymbols,in_byzantine_musical_symbols
incarian,in_carian
incaucasianalbanian,in_caucasian_albanian
inchakma,in_chakma
incham,in_cham
incherokee,in_cherokee
incherokeesupplement,in_cherokee_supplement
inchesssymbols,in_chess_symbols
inchorasmian,in_chorasmian
incjkcompatibility,in_cjk_compatibility
incjkcompatibilityforms,in_cjk_compatibility_forms
incjkcompatibilityideographs,in_cjk_compatibility_ideographs
incjkcompatibilityideographssupplement,in_cjk_compatibility_ideographs_supplement
incjkradicalssupplement,in_cjk_radicals_supplement
incjkstrokes,in_cjk_strokes
incjksymbolsandpunctuation,in_cjk_symbols_and_punctuation
incjkunifiedideographs,in_cjk_unified_ideographs
incjkunifiedideographsextensiona,in_cjk_unified_ideographs_extension_a
incjkunifiedideographsextensionb,in_cjk_unified_ideographs_extension_b
incjkunifiedideographsextensionc,in_cjk_unified_ideographs_extension_c
incjkunifiedideographsextensiond,in_cjk_unified_ideographs_extension_d
incjkunifiedideographsextensione,in_cjk_unified_ideographs_extension_e
incjkunifiedideographsextensionf,in_cjk_unified_ideographs_extension_f
incjkunifiedideographsextensiong,in_cjk_unified_ideographs_extension_g
incjkunifiedideographsextensionh,in_cjk_unified_ideographs_extension_h
incjkunifiedideographsextensioni,in_cjk_unified_ideographs_extension_i
incombiningdiacriticalmarks,in_combining_diacritical_marks
incombiningdiacriticalmarksextended,in_combining_diacritical_marks_extended
incombiningdiacriticalmarksforsymbols,in_combining_diacritical_marks_for_symbols
incombiningdiacriticalmarkssupplement,in_combining_diacritical_marks_supplement
incombininghalfmarks,in_combining_half_marks
incommonindicnumberforms,in_common_indic_number_forms
incontrolpictures,in_control_pictures
incoptic,in_coptic
incopticepactnumbers,in_coptic_epact_numbers
incountingrodnumerals,in_counting_rod_numerals
incuneiform,in_cuneiform
incuneiformnumbersandpunctuation,in_cuneiform_numbers_and_punctuation
incurrencysymbols,in_currency_symbols
incypriotsyllabary,in_cypriot_syllabary
incyprominoan,in_cypro_minoan
incyrillic,in_cyrillic
incyrillicextendeda,in_cyrillic_extended_a
incyrillicextendedb,in_cyrillic_extended_b
incyrillicextendedc,in_cyrillic_extended_c
incyrillicextendedd,in_cyrillic_extended_d
incyrillicsupplement,in_cyrillic_supplement
indeseret,in_deseret
indevanagari,in_devanagari
indevanagariextended,in_devanagari_extended
indevanagariextendeda,in_devanagari_extended_a
indingbats,in_dingbats
indivesakuru,in_dives_akuru
indogra,in_dogra
indominotiles,in_domino_tiles
induployan,in_duployan
inearlydynasticcuneiform,in_early_dynastic_cuneiform
inegyptianhieroglyphformatcontrols,in_egyptian_hieroglyph_format_controls
inegyptianhieroglyphs,in_egyptian_hieroglyphs
inelbasan,in_elbasan
inelymaic,in_elymaic
inemoticons,in_emoticons
inenclosedalphanumerics,in_enclosed_alphanumerics
inenclosedalphanumericsupplement,in_enclosed_alphanumeric_supplement
inenclosedcjklettersandmonths,in_enclosed_cjk_letters_and_months
inenclosedideographicsupplement,in_enclosed_ideographic_supplement
inethiopic,in_ethiopic
inethiopicextended,in_ethiopic_extended
inethiopicextendeda,in_ethiopic_extended_a
inethiopicextendedb,in_ethiopic_extended_b
inethiopicsupplement,in_ethiopic_supplement
ingeneralpunctuation,in_general_punctuation
ingeometricshapes,in_geometric_shapes
ingeometricshapesextended,in_geometric_shapes_extended
ingeorgian,in_georgian
ingeorgianextended,in_georgian_extended
ingeorgiansupplement,in_georgian_supplement
inglagolitic,in_glagolitic
inglagoliticsupplement,in_glagolitic_supplement
ingothic,in_gothic
ingrantha,in_grantha
ingreekandcoptic,in_greek_and_coptic
ingreekextended,in_greek_extended
ingujarati,in_gujarati
ingunjalagondi,in_gunjala_gondi
ingurmukhi,in_gurmukhi
inhalfwidthandfullwidthforms,in_halfwidth_and_fullwidth_forms
inhangulcompatibilityjamo,in_hangul_compatibility_jamo
inhanguljamo,in_hangul_jamo
inhanguljamoextendeda,in_hangul_jamo_extended_a
inhanguljamoextendedb,in_hangul_jamo_extended_b
inhangulsyllables,in_hangul_syllables
inhanifirohingya,in_hanifi_rohingya
inhanunoo,in_hanunoo
inhatran,in_hatran
inhebrew,in_hebrew
inherited,inherited
inhighprivateusesurrogates,in_high_private_use_surrogates
inhighsurrogates,in_high_surrogates
inhiragana,in_hiragana
inideographicdescriptioncharacters,in_ideographic_description_characters
inideographicsymbolsandpunctuation,in_ideographic_symbols_and_punctuation
inimperialaramaic,in_imperial_aramaic
inindicsiyaqnumbers,in_indic_siyaq_numbers
ininscriptionalpahlavi,in_inscriptional_pahlavi
ininscriptionalparthian,in_inscriptional_parthian
inipaextensions,in_ipa_extensions
initialpunctuation,initial_punctuation
injavanese,in_javanese
inkaithi,in_kaithi
inkaktoviknumerals,in_kaktovik_numerals
inkanaextendeda,in_kana_extended_a
inkanaextendedb,in_kana_extended_b
inkanasupplement,in_kana_supplement
inkanbun,in_kanbun
inkangxiradicals,in_kangxi_radicals
inkannada,in_kannada
inkatakana,in_katakana
